avatar,neck,chest,waist_navel,waist_min,hip,biceps,forearm,wrist,thigh,calf,neck_ratio,chest_ratio,waist_navel_ratio,waist_min_ratio,hip_ratio,biceps_ratio,forearm_ratio,wrist_ratio,thigh_ratio,calf_ratio
zen_m_b01_d1,35.2,78.2,70.9,65.8,85.1,20.7,20.4,15.6,45.5,29.9,0.2011,0.4469,0.4051,0.376,0.4863,0.1183,0.1166,0.0891,0.26,0.1709
zen_m_b01_d2,37.1,87.4,72.6,69.7,92.0,24.4,23.8,16.2,54.1,34.0,0.212,0.4994,0.4149,0.3983,0.5257,0.1394,0.136,0.0926,0.3091,0.1943
zen_m_b02_d1,34.7,85.3,71.7,67.6,87.8,22.7,22.6,15.8,51.5,32.8,0.1983,0.4874,0.4097,0.3863,0.5017,0.1297,0.1291,0.0903,0.2943,0.1874
zen_m_b02_d2,37.2,89.5,73.1,70.7,93.1,27.0,24.7,18.6,54.6,36.2,0.2126,0.5114,0.4177,0.404,0.532,0.1543,0.1411,0.1063,0.312,0.2069
zen_m_b02_d3,38.0,87.8,71.5,69.7,91.0,25.5,23.4,16.8,54.5,34.9,0.2171,0.5017,0.4086,0.3983,0.52,0.1457,0.1337,0.096,0.3114,0.1994
zen_m_b03_d1,36.5,89.6,76.0,73.1,92.1,26.3,24.1,16.8,55.6,36.8,0.2086,0.512,0.4343,0.4177,0.5263,0.1503,0.1377,0.096,0.3177,0.2103
zen_m_b03_d2,37.6,89.0,72.7,71.9,92.6,26.1,24.6,17.2,53.5,36.0,0.2149,0.5086,0.4154,0.4109,0.5291,0.1491,0.1406,0.0983,0.3057,0.2057
zen_m_b03_d3,38.4,88.4,71.4,68.1,92.0,28.5,26.1,18.1,50.7,35.0,0.2194,0.5051,0.408,0.3891,0.5257,0.1629,0.1491,0.1034,0.2897,0.2
zen_m_b04_d1,40.2,96.9,86.5,84.3,99.8,29.8,25.8,18.7,58.4,38.2,0.2297,0.5537,0.4943,0.4817,0.5703,0.1703,0.1474,0.1069,0.3337,0.2183
zen_m_b04_d2,38.1,94.0,78.6,77.5,96.4,29.5,26.5,18.3,55.5,36.8,0.2177,0.5371,0.4491,0.4429,0.5509,0.1686,0.1514,0.1046,0.3171,0.2103
zen_m_b04_d3,36.9,90.5,69.0,66.9,97.2,30.0,26.3,19.3,52.4,35.0,0.2109,0.5171,0.3943,0.3823,0.5554,0.1714,0.1503,0.1103,0.2994,0.2
zen_m_b05_d1,43.1,102.5,96.5,92.2,106.3,34.0,28.9,20.3,63.3,41.5,0.2463,0.5857,0.5514,0.5269,0.6074,0.1943,0.1651,0.116,0.3617,0.2371
zen_m_b05_d2,42.7,101.2,84.3,83.2,103.7,34.7,30.7,21.0,63.4,40.4,0.244,0.5783,0.4817,0.4754,0.5926,0.1983,0.1754,0.12,0.3623,0.2309
zen_m_b05_d3,42.7,96.6,74.0,70.7,98.4,29.7,27.7,20.1,60.6,37.0,0.244,0.552,0.4229,0.404,0.5623,0.1697,0.1583,0.1149,0.3463,0.2114
zen_m_b05h_d1,40.5,101.9,92.8,90.2,105.4,30.8,28.2,19.8,63.7,39.4,0.2314,0.5823,0.5303,0.5154,0.6023,0.176,0.1611,0.1131,0.364,0.2251
zen_m_b05h_d2,49.2,109.7,102.8,101.3,108.5,36.0,29.8,21.3,65.3,44.0,0.2811,0.6269,0.5874,0.5789,0.62,0.2057,0.1703,0.1217,0.3731,0.2514
zen_m_b05i_d1,50.3,119.0,132.0,119.6,131.3,35.3,31.1,28.3,75.6,50.8,0.2874,0.68,0.7543,0.6834,0.7503,0.2017,0.1777,0.1617,0.432,0.2903
zen_m_b05j_d1,47.2,110.9,110.5,105.3,116.9,35.9,31.7,23.1,70.5,47.1,0.2697,0.6337,0.6314,0.6017,0.668,0.2051,0.1811,0.132,0.4029,0.2691
